GeneID:100491944,XM_004915148.3,XP_004915205.1,runx1t1,A0A5S6MBM4,runx1t1
GeneID:100487513,XM_002937850.5,XP_002937896.1,ano10,A0A6I8Q0X6,ano10
GeneID:101733477,XM_004919877.2,XP_004919934.1,LOC101733477,A0A6I8Q7J7,LOC101733477
GeneID:100489162,XM_002937367.5,XP_002937413.3,lamc2,A0A6I8Q9Q7,lamc2
GeneID:100493729,XM_031896533.1,XP_031752393.1,tmprss2.2,A0A6I8QY77,tmprss2.2
GeneID:100379834,XM_004913060.4,XP_004913117.2,znrd1,A0A6I8RIK6,polr1h
GeneID:100486433,XM_002938937.5,XP_002938983.2,reck,A0A6I8RJ79,reck
GeneID:493558,XM_012967714.3,XP_012823168.2,ctbp2,A0A6I8RYF4,ctbp2
GeneID:100496531,XM_004913593.4,XP_004913650.1,klhl36,A0A6I8S2Z2,klhl36
GeneID:101733605,XM_012971432.2,XP_012826886.2,LOC101733605,A0A6I8S6L3,LOC101733605
GeneID:100488100,XM_002934970.4,XP_002935016.2,slc13a1,A0A6I8SEG7,slc13a1
GeneID:100379820,XM_012957933.2,XP_012813387.1,urad,A0A6I8SEZ0,urad
GeneID:100486196,XM_002939079.5,XP_002939125.2,rgs13,A0A6I8SLE9,rgs13
GeneID:100488081,XM_002931791.5,XP_002931837.1,zdhhc15,A0A6I8T122,zdhhc15
GeneID:100490883,XM_004914487.4,XP_004914544.1,kbtbd11,A0A803J1Z1,kbtbd11
GeneID:100488444,XM_002931792.4,XP_002931838.2,LOC100488444,A0A803J7U6,gpr12
GeneID:100490577,XM_004915749.4,XP_004915806.1,zbtb33,A0A803J8K9,zbtb33
GeneID:116410463,XM_031901144.1,XP_031757004.1,LOC116410463,A0A803JAW0,LOC116410463
GeneID:100491762,XM_031901048.1,XP_031756908.1,kcnt2,A0A803JWY4,kcnt2
GeneID:101732128,XM_031898634.1,XP_031754494.1,ninj2,A0A803K4K9,ninj2
